id,event_template_id,event_template_qty_id,currency_id,price_base,markup_amount,duration,min_total,reason
1794429,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794431,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794433,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794435,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794437,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794439,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794441,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794443,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794445,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794447,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794449,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794451,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794453,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794455,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794457,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794459,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794461,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794463,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794465,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794467,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794469,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794471,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794473,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794475,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794477,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794479,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794481,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794483,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794485,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794487,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794489,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794491,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794493,509,41,2,1120.00,168.00,2,2000.00,below_min_total
