1794399,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794401,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794403,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794405,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794407,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794409,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794411,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794413,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794415,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794417,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794419,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794421,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794423,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794425,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794427,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794429,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794431,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794433,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794435,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794437,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794439,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794441,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794443,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794445,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794447,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794449,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794451,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794453,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794455,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794457,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794459,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794461,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794463,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794465,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794467,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794469,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794471,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794473,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794475,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794477,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794479,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794481,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794483,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794485,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794487,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794489,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794491,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794493,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794495,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794497,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794499,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794501,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794503,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794505,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794507,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794509,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794511,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794513,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794515,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794517,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794519,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794521,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
